Id,Retweets,Favorites,Hashtags,Medias,Mentions,SenderId,SenderFavorites,SenderFollowings,SenderFollowers,SenderStatues,Letter,Words,AvgWordLength,IsCyberbullying
1155840000000000000.00,13,126,1,4,0,77189080,4,4,144123,5625,181,24,7,FALSE
1156220000000000000.00,29,658,0,1,0,45819962,1,1,421161,3280,146,25,5,FALSE
1157080000000000000.00,5,23,1,1,1,56764903,4424,348,60988,40108,189,38,4,FALSE
1157160000000000000.00,98,194,0,1,0,73080402,298763,13570,16514,195473,35,7,5,FALSE
1157280000000000000.00,117,208,0,1,0,73080402,298763,13570,16514,195473,61,12,5,FALSE
1157370000000000000.00,504,3564,0,0,0,63829194,3264,38,106471,12328,219,34,6,FALSE
1157600000000000000.00,194,292,0,1,0,44982012,81,4,85926,14786,122,18,6,FALSE
1157680000000000000.00,2,15,0,1,1,97453133,16941,487,725,8524,31,5,6,FALSE
1157860000000000000.00,85,358,0,1,0,98149527,47052,0,198190,51641,126,18,7,FALSE
1157940000000000000.00,151,1428,0,1,0,80549263,3,6,1217827,315758,32,5,6,FALSE
1157980000000000000.00,309,418,0,1,0,44982012,81,4,85926,14786,168,28,6,FALSE
1158000000000000000.00,4381,17463,1,0,0,68034431,0,95,13974880,6091,76,11,6,FALSE
1158000000000000000.00,6,61,0,0,0,93183233,4286,351,8552,3593,232,34,6,FALSE
1158050000000000000.00,5095,26605,0,0,0,68034431,0,95,13974880,6091,182,27,6,FALSE
1158060000000000000.00,6,36,3,0,0,69897962,2759,577,2049,1095,183,30,6,FALSE
1158080000000000000.00,55,1069,0,0,0,36413418,3509,173,44366,13390,81,12,6,FALSE
1158090000000000000.00,339,2388,0,0,0,85420539,28400,995,155615,52735,202,32,6,TRUE
1158100000000000000.00,4220,16512,0,1,0,68034431,0,95,13974880,6091,123,21,5,FALSE
1158120000000000000.00,84,571,0,0,0,67155761,16300,521,16689,3050,75,11,6,FALSE
1158140000000000000.00,190,622,0,0,0,93499827,30125,2690,12804,78868,53,8,6,FALSE
1158240000000000000.00,0,35,2,1,0,74397391,520,61,1614911,89970,84,17,4,FALSE
1158250000000000000.00,92,238,0,1,0,73080402,298763,13570,16514,195473,26,5,5,FALSE
1158260000000000000.00,180,2896,0,0,0,96430842,1,18,219292,217196,146,26,5,FALSE
1158260000000000000.00,810,22067,1,1,0,23186079,67,71,8631496,72643,25,3,8,FALSE
1158260000000000000.00,1,2,2,1,3,38399582,2752,699,19000,10288,125,22,5,FALSE
1158300000000000000.00,40,118,2,1,0,95897602,497,46,538625,247565,129,20,6,FALSE
1158310000000000000.00,68,522,0,0,0,48971197,22722,204,33049,8666,139,25,5,FALSE
1158310000000000000.00,11,50,1,1,0,87282413,7808,486,14404,8470,116,17,6,FALSE
1158310000000000000.00,304,1615,1,1,0,74397391,520,61,1614911,89970,65,15,4,FALSE
1158360000000000000.00,284,1074,0,1,0,80549263,3,6,1217827,315758,46,9,5,FALSE
1158360000000000000.00,2166,13218,0,0,0,68034431,0,95,13974880,6091,184,29,6,FALSE
1158360000000000000.00,21,140,0,1,1,80931720,1393,619,1361615,88014,37,5,7,FALSE
1158370000000000000.00,158,3918,1,0,0,23186079,67,71,8631496,72643,46,7,6,FALSE
1158370000000000000.00,1,6,0,0,3,49119658,19165,3340,3210,3163,101,15,6,TRUE
1158370000000000000.00,3,31,1,4,0,87282413,7808,486,14404,8470,171,28,6,FALSE
1158380000000000000.00,0,0,0,1,0,74480433,3760,349,3999,9375,35,5,7,TRUE
1158380000000000000.00,0,0,0,0,0,22540376,0,8,7582,98930,30,4,7,FALSE
1158380000000000000.00,0,0,2,0,1,66708116,1254,1023,313,5090,50,3,16,TRUE
1158380000000000000.00,0,0,0,0,0,21574395,604,746,599,1204,36,7,5,FALSE
1158380000000000000.00,8,10,0,0,1,97184872,16791,386,1791,1242,165,33,5,FALSE
1158390000000000000.00,0,0,0,0,0,93150869,8453,386,1540,7718,116,19,6,FALSE
1158390000000000000.00,0,0,0,0,1,91635317,2997,1055,229,1726,43,6,7,FALSE
1158390000000000000.00,0,0,0,0,0,64215971,6857,890,339,6609,18,3,6,FALSE
1158390000000000000.00,7,9,0,1,1,97779384,8,4,60522,311526,68,8,8,FALSE
1158390000000000000.00,0,0,0,0,1,55537787,7171,1034,674,14026,112,13,8,TRUE
1158400000000000000.00,0,0,0,0,0,93148535,5453,339,604,8115,21,3,7,FALSE
1158400000000000000.00,0,0,0,0,1,42439482,3133,745,294,286,207,36,5,FALSE
1158400000000000000.00,110,1417,0,1,0,71108476,2771,2835,1288628,339867,28,5,5,FALSE
1158400000000000000.00,308,1271,0,0,0,68034431,0,95,13974880,6091,46,9,5,FALSE
1158400000000000000.00,105,1058,0,0,0,49381990,3977,445,1573512,10342,39,6,6,FALSE
1158410000000000000.00,0,0,0,0,0,91879915,76,1013,3146,61957,223,37,6,TRUE
1158420000000000000.00,254,1004,0,1,0,19942168,17,11,182661,10816,141,20,7,FALSE
1158430000000000000.00,160,425,3,1,1,78254937,2493,311,266427,8183,182,27,6,FALSE
1158430000000000000.00,11,23,3,0,1,78254937,2493,311,266427,8183,184,25,7,FALSE
1158430000000000000.00,4,3,0,1,0,66968296,335,30,269796,140618,104,18,5,FALSE
1158430000000000000.00,39,161,2,0,0,88925756,18640,431,40937,38102,231,43,5,FALSE
1158430000000000000.00,0,0,0,1,0,21418513,2,5,138893,330094,220,40,5,FALSE
1158430000000000000.00,0,0,0,0,0,69827426,2854,15,109,6015,25,4,6,FALSE
1158430000000000000.00,0,0,0,0,1,76882928,163,238,90,139,51,8,6,FALSE
1158440000000000000.00,13,11,0,1,0,95170409,4592,356,134,578,154,24,6,FALSE
1158440000000000000.00,156,163,1,1,0,94040044,634,58,201812,46298,239,33,7,FALSE
1158660000000000000.00,0,0,0,0,1,20672583,9327,817,4077,5311,15,2,7,TRUE
1158820000000000000.00,0,0,0,0,0,96407750,2354,293,306,21277,15,3,5,TRUE
1158970000000000000.00,0,0,1,0,0,94607195,18175,78,1035,7607,150,29,5,FALSE
1159050000000000000.00,0,1,0,0,1,70888150,6142,751,323,11453,49,8,6,FALSE
1159050000000000000.00,22,37,0,1,0,80549263,3,6,1217827,315758,79,10,7,FALSE
1159070000000000000.00,1,1,0,1,0,97109536,23330,728,954,7276,34,6,5,TRUE
1159120000000000000.00,0,0,0,0,1,83790860,1969,2538,1187,4271,4,1,4,TRUE
1159150000000000000.00,31,725,0,0,2,64820716,2218,51,1010894,3934,101,16,6,FALSE
1159150000000000000.00,0,0,0,0,2,93291907,2905,311,158,5914,77,14,5,FALSE
1159160000000000000.00,0,0,0,0,0,75350817,174,456,1996,1039,93,18,5,FALSE
1159180000000000000.00,0,0,0,0,1,41096155,29193,1871,2302,53098,20,3,6,TRUE
1159300000000000000.00,0,0,0,0,0,91656276,1051,177,187,1284,16,4,4,TRUE
1159340000000000000.00,307,1704,0,1,0,96082963,3571,861745,1433267,2433,207,35,5,FALSE
1159400000000000000.00,0,0,0,1,0,93479134,42086,90,174,1797,149,29,5,TRUE
1159430000000000000.00,0,0,0,0,6,48684646,20438,3915,1662,19918,38,6,6,TRUE
1159450000000000000.00,4,4,0,4,0,74730822,0,51,36142,42487,160,25,6,FALSE
1159500000000000000.00,0,0,0,0,1,26574355,9056,409,74,2725,198,31,6,TRUE
1159520000000000000.00,78,802,0,0,0,26763070,143,2,943712,4546,197,32,6,FALSE
1159540000000000000.00,0,0,0,0,3,97937876,4881,3201,700,2196,101,16,6,TRUE
1159640000000000000.00,0,0,1,1,0,22626881,1,39,800249,325380,95,13,7,FALSE
1159680000000000000.00,0,0,0,0,2,62247423,1532,195,64,2128,193,34,5,TRUE
1159830000000000000.00,0,0,0,0,2,34885996,33021,357,361,17859,132,20,6,TRUE
1160120000000000000.00,57,1271,0,1,0,65669801,4562,65,34568,11157,51,5,10,FALSE
1160210000000000000.00,0,0,0,0,1,91779973,1578,480,103,317,137,23,5,TRUE
1160220000000000000.00,0,0,0,0,0,37898549,28745,548,1285,9864,51,7,7,TRUE
1160330000000000000.00,1,2,0,0,0,61425604,222796,2014,5571,61431,237,39,6,TRUE
1160350000000000000.00,0,0,0,1,2,94428018,2946,544,545,9142,77,10,7,TRUE
